Date,Price,Percent
Aug-89,0.31,-
Sep-89,0.31,0.00%
Oct-89,0.32,3.23%
Nov-89,0.33,3.13%
Dec-89,0.3,-9.09%
Jan-90,0.31,3.33%
Feb-90,0.32,3.23%
Mar-90,0.34,6.25%
Apr-90,0.34,0.00%
May-90,0.32,-5.88%
Jun-90,0.29,-9.38%
Jul-90,0.26,-10.34%
Aug-90,0.24,-7.69%
Sep-90,0.24,0.00%
Oct-90,0.22,-8.33%
Nov-90,0.22,0.00%
Dec-90,0.21,-4.55%
Jan-91,0.19,-9.52%
Feb-91,0.19,0.00%
Mar-91,0.2,5.26%
Apr-91,0.19,-5.00%
May-91,0.17,-10.53%
Jun-91,0.2,17.65%
Jul-91,0.23,15.00%
Aug-91,0.21,-8.70%
Sep-91,0.2,-4.76%
Oct-91,0.2,0.00%
Nov-91,0.19,-5.00%
Dec-91,0.2,5.26%
Jan-92,0.18,-10.00%
Feb-92,0.17,-5.56%
Mar-92,0.18,5.88%
Apr-92,0.21,16.67%
May-92,0.21,0.00%
Jun-92,0.23,9.52%
Jul-92,0.23,0.00%
Aug-92,0.22,-4.35%
Sep-92,0.21,-4.55%
Oct-92,0.19,-9.52%
Nov-92,0.19,0.00%
Dec-92,0.18,-5.26%
Jan-93,0.18,0.00%
Feb-93,0.19,5.56%
Mar-93,0.23,21.05%
Apr-93,0.25,8.70%
May-93,0.26,4.00%
Jun-93,0.23,-11.54%
Jul-93,0.21,-8.70%
Aug-93,0.21,0.00%
Sep-93,0.21,0.00%
Oct-93,0.23,9.52%
Nov-93,0.22,-4.35%
Dec-93,0.23,4.55%
Jan-94,0.23,0.00%
Feb-94,0.24,4.35%
Mar-94,0.26,8.33%
Apr-94,0.24,-7.69%
May-94,0.26,8.33%
Jun-94,0.27,3.85%
Jul-94,0.26,-3.70%
Aug-94,0.27,3.85%
Sep-94,0.28,3.70%
Oct-94,0.28,0.00%
Nov-94,0.31,10.71%
Dec-94,0.32,3.23%
Jan-95,0.33,3.13%
Feb-95,0.32,-3.03%
Mar-95,0.32,0.00%
Apr-95,0.3,-6.25%
May-95,0.3,0.00%
Jun-95,0.31,3.33%
Jul-95,0.3,-3.23%
Aug-95,0.29,-3.33%
Sep-95,0.26,-10.34%
Oct-95,0.26,0.00%
Nov-95,0.26,0.00%
Dec-95,0.27,3.85%
Jan-96,0.28,3.70%
Feb-96,0.28,0.00%
Mar-96,0.28,0.00%
Apr-96,0.26,-7.14%
May-96,0.25,-3.85%
Jun-96,0.27,8.00%
Jul-96,0.28,3.70%
Aug-96,0.27,-3.57%
Sep-96,0.26,-3.70%
Oct-96,0.25,-3.85%
Nov-96,0.24,-4.00%
Dec-96,0.24,0.00%
Jan-97,0.24,0.00%
Feb-97,0.24,0.00%
Mar-97,0.24,0.00%
Apr-97,0.25,4.17%
May-97,0.24,-4.00%
Jun-97,0.25,4.17%
Jul-97,0.25,0.00%
Aug-97,0.26,4.00%
Sep-97,0.25,-3.85%
Oct-97,0.25,0.00%
Nov-97,0.26,4.00%
Dec-97,0.27,3.85%
Jan-98,0.25,-7.41%
Feb-98,0.24,-4.00%
Mar-98,0.22,-8.33%
Apr-98,0.21,-4.55%
May-98,0.2,-4.76%
Jun-98,0.18,-10.00%
Jul-98,0.19,5.56%
Aug-98,0.19,0.00%
Sep-98,0.16,-15.79%
Oct-98,0.16,0.00%
Nov-98,0.18,12.50%
Dec-98,0.18,0.00%
Jan-99,0.18,0.00%
Feb-99,0.15,-16.67%
Mar-99,0.13,-13.33%
Apr-99,0.12,-7.69%
May-99,0.13,8.33%
Jun-99,0.13,0.00%
Jul-99,0.12,-7.69%
Aug-99,0.13,8.33%
Sep-99,0.15,15.38%
Oct-99,0.15,0.00%
Nov-99,0.14,-6.67%
Dec-99,0.13,-7.14%
Jan-00,0.12,-7.69%
Feb-00,0.12,0.00%
Mar-00,0.11,-8.33%
Apr-00,0.13,18.18%
May-00,0.15,15.38%
Jun-00,0.18,20.00%
Jul-00,0.21,16.67%
Aug-00,0.23,9.52%
Sep-00,0.22,-4.35%
Oct-00,0.24,9.09%
Nov-00,0.22,-8.33%
Dec-00,0.22,0.00%
1-Jan,0.23,4.55%
1-Feb,0.22,-4.35%
1-Mar,0.2,-9.09%
1-Apr,0.19,-5.00%
1-May,0.21,10.53%
1-Jun,0.2,-4.76%
1-Jul,0.19,-5.00%
1-Aug,0.18,-5.26%
1-Sep,0.17,-5.56%
1-Oct,0.15,-11.76%
1-Nov,0.17,13.33%
1-Dec,0.17,0.00%
2-Jan,0.17,0.00%
2-Feb,0.14,-17.65%
2-Mar,0.15,7.14%
2-Apr,0.15,0.00%
2-May,0.13,-13.33%
2-Jun,0.13,0.00%
2-Jul,0.14,7.69%
2-Aug,0.14,0.00%
2-Sep,0.15,7.14%
2-Oct,0.17,13.33%
2-Nov,0.17,0.00%
2-Dec,0.18,5.88%
3-Jan,0.18,0.00%
3-Feb,0.2,11.11%
3-Mar,0.18,-10.00%
3-Apr,0.17,-5.56%
3-May,0.16,-5.88%
3-Jun,0.15,-6.25%
3-Jul,0.15,0.00%
3-Aug,0.15,0.00%
3-Sep,0.13,-13.33%
3-Oct,0.13,0.00%
3-Nov,0.13,0.00%
3-Dec,0.14,7.69%
4-Jan,0.13,-7.14%
4-Feb,0.13,0.00%
4-Mar,0.14,7.69%
4-Apr,0.15,7.14%
4-May,0.14,-6.67%
4-Jun,0.15,7.14%
4-Jul,0.17,13.33%
4-Aug,0.17,0.00%
4-Sep,0.17,0.00%
4-Oct,0.19,11.76%
4-Nov,0.18,-5.26%
4-Dec,0.18,0.00%
5-Jan,0.19,5.56%
5-Feb,0.2,5.26%
5-Mar,0.2,0.00%
5-Apr,0.19,-5.00%
5-May,0.19,0.00%
5-Jun,0.2,5.26%
5-Jul,0.21,5.00%
5-Aug,0.22,4.76%
5-Sep,0.23,4.55%
5-Oct,0.25,8.70%
5-Nov,0.25,0.00%
5-Dec,0.29,16.00%
6-Jan,0.35,20.69%
6-Feb,0.4,14.29%
6-Mar,0.38,-5.00%
6-Apr,0.39,2.63%
6-May,0.37,-5.13%
6-Jun,0.34,-8.11%
6-Jul,0.35,2.94%
6-Aug,0.3,-14.29%
6-Sep,0.27,-10.00%
6-Oct,0.26,-3.70%
6-Nov,0.26,0.00%
6-Dec,0.26,0.00%
7-Jan,0.24,-7.69%
7-Feb,0.23,-4.17%
7-Mar,0.23,0.00%
7-Apr,0.21,-8.70%
7-May,0.21,0.00%
7-Jun,0.2,-4.76%
7-Jul,0.22,10.00%
7-Aug,0.22,0.00%
7-Sep,0.22,0.00%
7-Oct,0.22,0.00%
7-Nov,0.22,0.00%
7-Dec,0.24,9.09%
8-Jan,0.26,8.33%
8-Feb,0.3,15.38%
8-Mar,0.29,-3.33%
8-Apr,0.28,-3.45%
8-May,0.27,-3.57%
8-Jun,0.27,0.00%
8-Jul,0.31,14.81%
8-Aug,0.32,3.23%
8-Sep,0.3,-6.25%
8-Oct,0.26,-13.33%
8-Nov,0.27,3.85%
8-Dec,0.26,-3.70%
9-Jan,0.28,7.69%
9-Feb,0.29,3.57%
9-Mar,0.3,3.45%
9-Apr,0.3,0.00%
9-May,0.35,16.67%
9-Jun,0.36,2.86%
9-Jul,0.41,13.89%
9-Aug,0.49,19.51%
9-Sep,0.51,4.08%
9-Oct,0.5,-1.96%
9-Nov,0.49,-2.00%
9-Dec,0.52,6.12%
10-Jan,0.58,11.54%
10-Feb,0.56,-3.45%
10-Mar,0.41,-26.79%
10-Apr,0.36,-12.20%
10-May,0.34,-5.56%
10-Jun,0.35,2.94%
10-Jul,0.38,8.57%
10-Aug,0.41,7.89%
10-Sep,0.5,21.95%
10-Oct,0.54,8.00%
10-Nov,0.58,7.41%
10-Dec,0.62,6.90%
11-Jan,0.65,4.84%
11-Feb,0.65,0.00%
11-Mar,0.58,-10.77%
11-Apr,0.54,-6.90%
11-May,0.48,-11.11%
11-Jun,0.56,16.67%
11-Jul,0.62,10.71%
11-Aug,0.61,-1.61%
11-Sep,0.59,-3.28%
11-Oct,0.56,-5.08%
11-Nov,0.53,-5.36%
11-Dec,0.51,-3.77%
12-Jan,0.52,1.96%
12-Feb,0.53,1.92%
12-Mar,0.53,0.00%
12-Apr,0.5,-5.66%
12-May,0.46,-8.00%
12-Jun,0.45,-2.17%
12-Jul,0.5,11.11%
12-Aug,0.46,-8.00%
12-Sep,0.44,-4.35%
12-Oct,0.45,2.27%
12-Nov,0.43,-4.44%
12-Dec,0.43,0.00%
13-Jan,0.42,-2.33%
13-Feb,0.4,-4.76%
13-Mar,0.41,2.50%
13-Apr,0.39,-4.88%
13-May,0.39,0.00%
13-Jun,0.38,-2.56%
13-Jul,0.37,-2.63%
13-Aug,0.38,2.70%
13-Sep,0.38,0.00%
13-Oct,0.41,7.89%
13-Nov,0.39,-4.88%
13-Dec,0.36,-7.69%
14-Jan,0.34,-5.56%
14-Feb,0.37,8.82%
14-Mar,0.39,5.41%
14-Apr,0.39,0.00%
14-May,0.4,2.56%
14-Jun,0.4,0.00%
14-Jul,0.4,0.00%
14-Aug,0.38,-5.00%
14-Sep,0.35,-7.89%
14-Oct,0.37,5.71%
14-Nov,0.36,-2.70%
14-Dec,0.34,-5.56%
15-Jan,0.34,0.00%
15-Feb,0.32,-5.88%
15-Mar,0.29,-9.38%
15-Apr,0.29,-0.56%
15-May,0.29,0.57%
15-Jun,0.27,-6.90%
15-Jul,0.28,3.70%
15-Aug,0.25,-10.71%
15-Sep,0.26,4.00%
15-Oct,0.31,19.23%
15-Nov,0.32,3.23%
15-Dec,0.32,0.00%
16-Jan,0.31,-3.12%
16-Feb,0.29,-6.45%
16-Mar,0.34,17.24%
16-Apr,0.34,0.00%
16-May,0.38,11.76%
16-Jun,0.43,13.16%
16-Jul,0.43,0.00%
16-Aug,0.44,2.33%
16-Sep,0.47,6.82%
16-Oct,0.49,4.26%
16-Nov,0.45,-8.16%
